taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Cirsium oleraceum,195767-1,75.35,0,24.65,C/CR
Cirsium tuberosum,196145-1,84.83,5.81,9.36,C
Cirsium vulgare,196191-1,81.6,0,18.4,C/CR
Claytonia perfoliata,60021-2,23.62,0,76.38,R/CR
Clematis vitalba,319145-2,45.17,32.73,22.11,CS/CSR
Clematis viticella,710196-1,59,41,0,CS
Clinopodium acinos,445709-1,11.69,47.33,40.98,SR/CSR
Clinopodium nepeta,445833-1,5.08,58.75,36.17,SR
Clinopodium vulgare,61206-2,18.29,43.32,38.39,SR/CSR
Cochlearia anglica,281383-1,3.91,80.61,15.48,S/SR
Coincya monensis,912252-1,67.9,0,32.1,C/CR
Colchicum autumnale,533232-1,70.26,0,29.74,C/CR
Colutea arborescens,486805-1,35.68,42.45,21.87,CS/CSR
Comarum palustre,63773-2,44.86,36.08,19.06,CS/CSR
Conium maculatum,840668-1,74.47,6.13,19.4,C/CR
Conopodium majus,840717-1,24.64,18.94,56.41,R/CSR
Conringia orientalis,60455373-2,58.03,0,41.97,CR
Convallaria majalis,533487-1,50.17,12.78,37.05,CR/CSR
Convolvulus arvensis,265849-1,27.6,9.23,63.18,R/CR
Coreopsis tinctoria,198219-1,52.57,0,47.43,CR
Coriandrum sativum,840760-1,29.37,0,70.63,R/CR
Corispermum intermedium,165403-1,20.81,6.76,72.42,R/CR
Cornus mas,271612-1,33.69,24.81,41.49,CR/CSR
Cornus sanguinea,271661-1,26.35,50.91,22.73,S/CSR
Cornus sericea,66169-2,26.79,54.49,18.72,S/CSR
Cornus suecica,271681-1,15.46,12.65,71.89,R/CR
Corrigiola litoralis,326909-2,0,0,100,R
Corydalis cava,672129-1,49.1,0,50.9,CR
Corydalis solida,60454743-2,36.77,0,63.23,R/CR
Corylus avellana,295446-1,35.61,49.11,15.28,CS/CSR
Corynephorus canescens,396681-1,0.76,80.27,18.97,S/SR
Cota tinctoria,198407-1,22.59,34.36,43.05,SR/CSR
Cotinus coggygria,69498-1,22.63,58.39,18.97,S/CSR
Cotoneaster horizontalis,722522-1,1.6,92.78,5.62,S
Cotula coronopifolia,198443-1,13.72,0,86.28,R
Crambe maritima,281657-1,48.5,51.5,0,CS
Crataegus laevigata,723644-1,18.54,55.37,26.09,S/CSR
Crataegus monogyna,723820-1,16.63,72.73,10.64,S/CS
Crepis biennis,199715-1,60.11,0,39.89,CR
Crepis capillaris,199753-1,38.5,0,61.5,CR
Crepis foetida,199861-1,40.36,0,59.64,CR
Crepis paludosa,200127-1,45.18,0,54.82,CR
Crepis tectorum,200321-1,19.79,13.5,66.71,R/CR
Crepis vesicaria,200365-1,41.25,8.38,50.36,CR
Crithmum maritimum,840827-1,5.37,94.63,0,S
Cruciata laevipes,747959-1,5.17,37.28,57.55,SR
Cryptomeria japonica,261870-1,4.81,95.19,0,S
Cucurbita pepo,292416-1,86.42,0,13.58,C
Cymbalaria muralis,325773-2,37.33,0,62.67,R/CR
Cynodon dactylon,397065-1,10.54,39.45,50.01,SR
Cynoglossum officinale,115233-1,51.94,0,48.06,CR
Cynosurus cristatus,397168-1,41.68,26.84,31.48,CSR
Cyperus fuscus,330929-2,10.72,0,89.28,R
Cyperus longus,330932-2,31.37,28.03,40.6,CSR
Cystopteris fragilis,30013429-2,26.9,25.78,47.32,R/CSR
Cytisus scoparius,489963-1,0,59.08,40.92,SR
Dactylis glomerata,397309-1,34.46,32.91,32.62,CSR
Dactylorhiza fuchsii,626606-1,43.22,0,56.78,CR
Dactylorhiza incarnata,626620-1,47.13,0,52.87,CR
Dactylorhiza maculata,626641-1,48.06,0,51.94,CR
